evt,LepGood1_charge,LepGood2_charge,LepGood1_convVeto,LepGood2_convVeto,LepGood1_lostHits,LepGood2_lostHits,LepGood1_mvaTTH,LepGood2_mvaTTH,LepGood1_pdgId,LepGood2_pdgId,LepGood1_pt,LepGood2_pt,LepGood1_tightCharge,LepGood2_tightCharge,met_pt,mhtJet25,minMllAFAS,nBJetLoose25,nBJetMedium25,nJet25,nLepGood10
135697,-1,-1,1,1,0,0,0.82432281971,0.860163152218,13,13,178.976654053,37.8435554504,2,2,161.80078125,136.062332153,179.130661011,3,1,4,2
137433,1,1,1,1,0,0,0.957571208477,0.63564068079,-13,-13,67.1490478516,21.4931621552,2,2,52.5328063965,18.5568065643,114.603111267,3,2,4,2
145107,-1,1,1,1,0,0,0.983050346375,0.87712842226,13,-13,26.3276424408,11.1800117493,2,2,27.4225311279,95.4047012329,25.3210773468,2,2,4,2
145114,-1,1,1,1,0,0,0.980586707592,0.541083157063,13,-13,55.6489067078,41.9561386108,2,2,180.002883911,193.915481567,106.392707825,2,1,2,2
145134,-1,1,1,1,0,0,0.901813983917,-0.660996615887,13,-13,51.0312576294,12.7022953033,2,2,67.5339813232,54.1291275024,72.2640609741,4,3,8,2
152729,1,1,1,1,0,0,0.948060870171,0.78497171402,-13,-13,76.5267944336,55.7641372681,2,2,162.937286377,239.387420654,114.693695068,2,1,7,2
152743,-1,1,1,1,0,0,0.953974425793,-0.489447265863,13,-13,51.044834137,10.4105997086,2,2,95.3985671997,162.934570312,38.0488014221,1,1,3,2
152781,1,-1,1,1,0,0,0.982069790363,-0.284239560366,-13,13,15.5403356552,13.3408174515,2,2,118.540794373,163.190979004,9.40710735321,1,0,4,3
161828,1,1,1,1,0,0,0.866411685944,-0.949430704117,-13,-13,15.0336427689,6.52593946457,2,2,33.7580451965,90.7252960205,16.2193870544,3,1,5,1
168764,-1,-1,1,1,0,0,0.984237730503,-0.680904507637,13,13,63.4181480408,7.55265474319,2,2,103.230415344,50.0863723755,42.1702308655,1,1,4,1
168768,-1,1,1,1,0,0,0.892089188099,0.900559902191,13,-13,145.836547852,14.374876976,2,2,36.5438346863,51.9373893738,58.908996582,3,2,6,2
168796,-1,1,1,1,0,0,0.937503397465,0.789220035076,13,-13,24.6314601898,24.4865436554,2,2,18.6528167725,32.3480987549,26.7375602722,4,3,4,2
196110,-1,1,1,1,0,0,0.982833325863,0.964902341366,13,-13,38.8226165771,24.2315673828,2,2,79.4908676147,91.2438583374,26.6721019745,2,2,4,3
196117,-1,1,1,1,0,0,0.98075813055,0.917440354824,13,-13,56.5773735046,51.854133606,2,2,92.8483352661,119.353164673,20.6442089081,0,0,3,3
196148,-1,-1,1,1,0,0,-0.500437200069,0.0638028681278,13,13,12.0023784637,11.606678009,2,2,44.06772995,49.9084739685,29.4905776978,4,4,4,2
90473,-1,1,1,1,0,0,-0.393023848534,0.895366072655,13,-13,16.2829933167,14.1017713547,2,2,145.959136963,153.116287231,35.5649032593,3,2,5,2
111247,1,1,1,1,0,0,-0.780654966831,0.56791728735,-13,-13,71.7681808472,6.01395177841,2,2,40.0188789368,91.6494827271,46.3186607361,3,3,5,1
111262,-1,-1,1,1,0,0,0.982790470123,-0.257672458887,13,13,73.6494827271,10.4100408554,2,2,104.288696289,71.8788833618,45.2787780762,2,1,5,2
111271,-1,1,1,1,0,0,0.877661645412,0.60722130537,13,-13,86.1918792725,21.8317909241,2,2,86.8633270264,34.1268959045,67.7731552124,2,1,4,2
111279,-1,1,1,1,0,0,0.955477833748,0.97843337059,13,-13,55.7489128113,52.2531433105,2,2,97.2148742676,85.0833740234,265.959838867,3,2,4,2
111298,1,-1,1,1,0,0,0.959589183331,0.419346958399,-13,13,195.683853149,7.40435934067,2,2,45.9424057007,77.7179260254,82.6447677612,4,2,6,1
111714,1,-1,1,1,0,0,0.970760285854,0.94569593668,-13,13,76.2270202637,20.0694236755,2,2,125.177902222,106.667663574,138.691604614,4,2,4,2
111790,1,-1,1,1,0,0,0.808770418167,-0.0955593138933,-13,13,64.2885742188,8.21861934662,2,2,338.73538208,260.198028564,21.850271225,4,2,5,1
131165,1,-1,1,1,0,0,0.761632204056,0.0414029657841,-13,13,45.7146072388,6.3968963623,2,2,63.9311561584,86.3874435425,34.0257759094,1,0,1,1
131176,-1,1,1,1,0,0,0.801258802414,0.838234961033,13,-13,131.980285645,123.015167236,2,2,66.0075454712,72.43019104,40.2851371765,4,2,7,2
148722,1,-1,1,1,0,0,0.970571041107,0.952418684959,-13,13,80.0246658325,23.8483600616,2,2,95.1674575806,18.3472633362,24.3317489624,2,1,5,3
148739,-1,-1,1,1,0,1,0.924415230751,0.828446090221,13,13,69.8522033691,31.3270740509,2,2,96.4226989746,65.7258071899,60.8847999573,2,1,6,2
148767,1,-1,1,1,0,0,0.985996067524,0.948285877705,-13,13,50.7489547729,34.6414337158,2,2,67.9009094238,65.7702636719,25.132818222,3,2,3,3
194923,-1,-1,1,1,0,0,-0.952851891518,0.816530108452,13,13,48.0144767761,10.7818803787,2,2,143.314331055,64.1390457153,39.7585144043,4,2,4,2
