evt LepGood1_charge LepGood2_charge LepGood1_convVeto LepGood2_convVeto LepGood1_lostHits LepGood2_lostHits LepGood1_mvaTTH LepGood2_mvaTTH LepGood1_pdgId LepGood2_pdgId LepGood1_pt LepGood2_pt LepGood1_tightCharge LepGood2_tightCharge met_pt mhtJet25 minMllAFAS nBJetLoose25 nBJetMedium25 nJet25 nLepGood10
2295 -1 -1 1 1 0 0 0.968991219997 0.955015063286 13 13 154.955307007 96.4555358887 2 2 102.923316956 104.846244812 209.766983032 2 1 5 2
11798 -1 -1 1 1 1 0 0.976342380047 0.928604364395 13 13 86.7814331055 42.6931037903 2 2 188.834609985 169.158096313 79.6081085205 2 1 8 2
20174 1 1 1 1 0 0 0.981579065323 0.973657906055 -13 -13 81.6091842651 29.8828792572 2 2 141.422683716 77.7381515503 95.2758865356 2 0 5 2
58391 -1 -1 1 1 0 0 0.974608242512 0.97883272171 13 13 104.670631409 24.8823242188 2 2 87.1734695435 85.4668579102 133.02204895 2 1 5 2
70931 -1 -1 1 1 0 0 0.914428770542 0.970860362053 13 13 88.2545471191 72.9055328369 2 2 130.408721924 80.2931594849 161.46534729 2 2 5 2
196940 -1 -1 1 1 0 0 0.980741024017 0.821246623993 13 13 31.5504608154 25.7160663605 2 2 111.339118958 76.8775177002 56.6988258362 2 1 6 2
186749 -1 -1 1 1 0 0 0.978851854801 0.802732825279 13 13 122.428573608 22.7971801758 2 2 10.1597261429 49.8985900879 114.072349548 2 2 5 2
4776 1 1 1 1 0 0 0.927155852318 0.948757171631 -13 -13 37.7813987732 28.0715370178 2 2 53.6388435364 12.2703237534 105.919898987 2 0 4 2
4781 1 1 1 1 0 0 0.734383583069 0.935115039349 -13 -13 86.9038391113 77.6397171021 2 2 149.988983154 129.441085815 43.1916770935 2 1 4 3
49526 -1 -1 1 1 0 0 0.980728685856 0.956451714039 13 13 535.574951172 424.500213623 2 2 209.803131104 202.128616333 32.5175704956 1 1 4 3
38398 -1 -1 1 1 0 0 0.985944092274 0.931885898113 13 13 50.7324333191 23.2279090881 2 2 259.129486084 257.950714111 39.0246162415 1 1 5 2
108269 -1 -1 1 1 0 0 0.932376086712 0.986716210842 13 13 46.2753791809 43.0004501343 2 2 85.5425262451 24.8569221497 79.3489074707 2 1 6 2
109365 -1 -1 1 1 0 0 0.88900411129 0.983163833618 13 13 97.4612884521 95.2836227417 2 2 68.8530883789 71.6170043945 107.020729065 4 1 7 2
84628 1 1 1 1 0 0 0.966533005238 0.977639436722 -13 -13 29.8502254486 20.8101634979 2 2 106.552024841 121.522491455 10.2168445587 2 0 5 2
95228 1 1 1 1 0 0 0.925471186638 0.900253891945 -13 -13 105.812263489 73.665725708 2 2 49.8460922241 118.325538635 94.2424163818 2 0 6 3
116823 1 1 1 1 0 0 0.981691241264 0.944159209728 -13 -13 79.9171142578 33.446308136 2 2 99.7175750732 116.009658813 102.179603577 2 1 5 2
142909 1 1 1 1 0 0 0.953534424305 0.955195605755 -13 -13 38.0241355896 36.7010803223 2 2 105.899055481 103.920692444 18.445192337 2 1 8 2
142959 -1 -1 1 1 0 0 0.874835729599 0.962669312954 13 13 124.301879883 36.9398612976 2 2 18.7979221344 92.1808013916 168.65071106 2 2 6 2
142988 -1 -1 1 1 0 0 0.942919909954 0.963318943977 13 13 39.4076690674 39.1700286865 2 2 16.5595149994 22.4271526337 53.9790153503 2 2 4 2
142989 1 1 1 1 0 0 0.894394814968 0.773052215576 -13 -13 103.012565613 86.7926483154 2 2 255.470916748 332.374725342 83.6835632324 4 3 6 2
171206 1 1 1 1 0 0 0.878195166588 0.927658498287 -13 -13 39.3372879028 33.735534668 2 2 40.5594902039 23.4457874298 10.6523141861 1 1 4 3
5253 -1 -1 1 1 0 0 0.983585894108 0.973447203636 13 13 155.189071655 25.1747703552 2 2 85.8854980469 188.702331543 25.2033233643 2 1 5 3
80265 1 1 1 1 0 0 0.987262010574 0.942369639874 -13 -13 142.393325806 40.0346984863 2 2 154.392471313 203.829681396 10.4027910233 2 2 5 3
66590 -1 -1 1 1 0 0 0.965491235256 0.964560031891 13 13 27.9690818787 22.9998283386 2 2 59.8475189209 92.7770462036 25.1747398376 2 2 5 2
